"","Cluster","n","Actual Contacted","Age","Perceived Risk","Future Generations Harm","Worldview: Ingenuity","PBC: Calling Ability","Personal Harm","Interpersonal Discussion 
& Media Exposure","Injunctive Norms","Descriptive Norms"
"1","1",200,19,50.725,3.62333333333333,3.94,2.77,3.035,3.315,2.48916666666667,1.39103571428571,1.20507738095238
"2","2",166,0,55.144578313253,1.94277108433735,2.13253012048193,3.16867469879518,2.75301204819277,1.43975903614458,1.70481927710843,1.14450659781985,1.09558950086059
"3","3",140,65,44.2285714285714,3.73095238095238,3.20714285714286,3.45,3.69285714285714,2.94285714285714,3.02619047619048,2.97834183673469,2.83484693877551
